iter	RMSE
0	14.16064803
1	13.34717305
2	12.58436572
3	11.86904371
4	11.16824414
5	10.5964958
6	10.04065309
7	9.515121011
8	9.097334942
9	8.719661875
10	8.388288776
11	8.052487989
12	7.728435903
13	7.422830412
14	7.19166324
15	6.966250604
16	6.764865457
17	6.580402169
18	6.399974287
19	6.237677685
20	6.100037209
21	5.982904597
22	5.863720906
23	5.745945792
24	5.639718929
25	5.54664435
26	5.465058176
27	5.390622682
28	5.322616486
29	5.253243985
30	5.18887117
31	5.1157842
32	5.052441417
33	5.004079674
34	4.947670096
35	4.892596176
36	4.838585412
37	4.799441508
38	4.764575184
39	4.736122205
40	4.705474121
41	4.672731265
42	4.646700598
43	4.619021362
44	4.581531737
45	4.557271882
46	4.53717347
47	4.508836772
48	4.483449142
49	4.451700018
50	4.438687391
51	4.408437455
52	4.383457486
53	4.364950963
54	4.357365972
55	4.328684802
56	4.302485855
57	4.286121471
58	4.267720331
59	4.233002868
60	4.213444396
61	4.198126976
62	4.18771485
63	4.185616014
64	4.164166026
65	4.141829443
66	4.122954279
67	4.102681651
68	4.079285906
69	4.058440232
70	4.0399592
71	4.023129297
72	4.012452888
73	3.992098627
74	3.972736379
75	3.951302056
76	3.933536651
77	3.909033361
78	3.894072809
79	3.871158779
80	3.861619856
81	3.85294103
82	3.838969424
83	3.818256673
84	3.803989219
85	3.794283062
86	3.77675763
87	3.759976863
88	3.744714792
89	3.723120245
90	3.710727741
91	3.698883998
92	3.686074381
93	3.679165818
94	3.669625924
95	3.650377398
96	3.639635254
97	3.623537754
98	3.617499462
99	3.605169355
