iter	Passed	Remaining
0	6	649
1	9	452
2	15	506
3	22	538
4	29	552
5	36	564
6	37	501
7	39	457
8	47	478
9	54	493
10	62	506
11	69	512
12	77	521
13	80	497
14	89	505
15	97	510
16	105	513
17	106	486
18	111	473
19	113	454
20	122	459
21	130	463
22	142	476
23	151	481
24	161	485
25	170	483
26	177	480
27	185	477
28	193	474
29	201	470
30	209	467
31	218	464
32	228	463
33	236	458
34	244	453
35	252	449
36	260	444
37	268	438
38	277	433
39	280	420
40	284	410
41	293	404
42	302	400
43	311	396
44	322	393
45	330	388
46	339	382
47	347	375
48	355	370
49	364	364
50	372	357
51	380	351
52	389	344
53	397	338
54	400	327
55	408	321
56	417	314
57	424	307
58	433	300
59	441	294
60	449	287
61	459	281
62	464	273
63	466	262
64	474	255
65	482	248
66	491	241
67	499	234
68	507	227
69	515	220
70	522	213
71	531	206
72	539	199
73	548	192
74	555	185
75	564	178
76	572	171
77	581	163
78	589	156
79	597	149
80	607	142
81	617	135
82	626	128
83	634	120
84	642	113
85	650	105
86	659	98
87	667	90
88	675	83
89	683	75
90	691	68
91	699	60
92	707	53
93	715	45
94	723	38
95	731	30
96	739	22
97	747	15
98	757	7
99	765	0
